Puntaje de corte PSU (último seleccionado);Valor de arancel
625;4084400
644;5156300
688;5749600
642;5156300
600;4773000
600;4773000
624;4773000
606;3756700
600;3756700
652;4472200
600;3506900
600;3394500
659;4675300
600;4472200
666;4223700
653;3987800
653;3838000
698;4526100
690;3680700
628;3680700
602;3785600
600;4422900
600;3987800
655;3615900
668;4124100
696;3598600
637;3755800
716;3615900
627;3615900
617;3615900
697;5025400
605;3615900
601;3176300
601;4133600
606;4133600
609;3756700
600;3176300
602;3512900
614;3176300
601;3176300
600;3176300
683;4404600
601;4543400
667;4527800
778;6527900
638;4404600
693;4404600
695;6416700
665;4526100
698;4797200
637;4404600
611;4773000
719;5995000
600;4422900
727;4376500
679;4376500
718;6538000
600;5588000
648;5196000
678;5588000
671;4446000
698;6288000
626;5740000
619;4446000
676;4434000
654;5588000
631;4434000
668;3914000
722;5196000
728;4446000
714;3914000
614;3914000
641;6162000
698;6538000
637;3914000
632;4446000
642;5196000
606;5740000
698;4978000
668;5588000
726;5740000
623;5196000
619;4446000
711;5740000
600;4446000
522;2812000
603;4446000
502;2812000
613;4446000
611;4446000
601;4446000
651;4446000
635;4446000
668;4446000
570;2582000
601;4446000
601;3914000
614;3914000
660;3914000
609;3914000
635;3574000
712;4624000
602;4624000
663;5056000
800;7352000
658;4422000
722;7352000
701;4446000
618;5150000
601;5588000
748;7032000
613;4584271
501;4584271
510;4584271
542;4584271
580;4584271
502;4584271
501;4751078
516;4751078
566;4144870
535;4898612
500;4751078
586;5299286
623;5299286
598;4887400
525;4229443
558;4144870
653;4144870
667;4729375
630;4640524
575;4729375
671;4131913
504;4442515
533;3420209
506;4131913
528;4585581
530;4518762
560;4244565
666;4155549
502;3965474
548;3530746
611;4713138
642;4713138
502;3133750
507;3133750
506;3133750
503;3133750
510;3133750
501;3133750
508;3133750
503;3133750
552;3133750
581;3133750
558;3133750
507;3133750
500;3133750
549;3133750
545;3133750
509;3133750
568;3133750
511;3133750
597;3133750
538;2765616
513;3965474
547;3461658
626;3694718
600;4243207
659;4243207
601;4243207
565;4243207
598;5059390
766;6976018
585;4243207
671;4243207
675;6976018
665;4243207
687;5059390
591;5299286
508;4746721
554;4746721
506;4746721
675;5402098
666;5723229
620;5151000
561;5151000
661;5088235
555;4883838
625;6050705
631;5151000
510;5151000
517;5402098
675;4898612
619;4522480
618;5151000
573;5363502
682;5151000
508;5151000
522;4900568
500;4900568
504;4842417
511;3525000
575;4727000
503;4659000
546;3202000
606;4682000
508;3922000
508;4682000
574;2583000
518;3463000
602;2558000
564;3513000
630;2558000
514;2558000
524;3320000
533;2625000
531;3285000
548;3930000
641;4673000
545;2758000
631;4727000
501;2758000
501;2558000
502;2558000
522;2558000
530;2558000
509;2625000
501;2625000
510;2558000
550;2625000
501;2625000
608;2583000
502;2558000
521;2830000
607;2830000
502;2830000
571;2625000
597;3320000
560;4682000
622;4235000
517;4263000
519;4263000
512;4263000
522;4361000
601;4361000
507;4361000
502;4295000
533;4764000
549;4361000
515;4361000
505;4727000
501;4263000
517;4263000
513;3371000
513;3371000
510;3922000
550;3320000
500;3371000
501;4263000
506;3371000
503;3371000
581;4740000
588;4740000
613;4350000
580;4350000
551;4005000
565;4005000
652;3360000
651;3360000
657;3360000
665;3360000
584;4005000
608;4740000
607;4740000
603;4740000
614;4740000
628;4740000
668;4740000
601;4740000
607;4740000
610;4740000
600;4740000
635;4740000
602;4740000
652;4740000
666;4740000
629;4740000
602;4740000
605;4740000
601;4740000
626;4740000
